Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Average_Estimator
1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,3,1,1,3,1,3,3,3,2
3,1,1,3,3,1,3,3,7,3,3,2.8
4,1,3,3,3,3,3,3,7,3,3,3.2
5,3,3,3,3,3,3,3,7,3,7,3.8
6,3,3,3,3,3,7,3,7,3,7,4.2
7,7,7,3,3,3,7,7,7,3,7,5.4
8,7,7,3,7,3,7,7,7,3,7,5.8
9,7,7,3,7,7,7,15,7,3,7,7
10,7,7,3,7,7,15,15,7,3,7,7.8
11,7,7,7,7,7,15,15,15,3,7,9
12,7,7,7,15,7,15,15,15,3,7,9.8
13,7,7,7,15,7,15,15,15,3,7,9.8
14,7,7,7,15,7,31,15,15,3,7,11.4
15,7,7,7,15,7,31,15,15,7,7,11.8
16,7,7,7,15,7,31,15,15,7,7,11.8
17,7,15,7,15,15,31,15,15,7,7,13.4
18,7,15,7,15,15,31,15,15,7,7,13.4
19,7,15,7,15,15,31,15,15,15,7,14.2
20,7,15,15,15,15,31,15,15,15,7,15
21,7,15,15,15,15,31,15,15,15,7,15
22,7,15,15,15,15,31,15,15,15,15,15.8
23,7,15,15,15,15,31,15,31,15,15,17.4
24,7,15,15,15,15,31,15,31,15,15,17.4
25,7,15,15,15,15,31,15,31,15,15,17.4
26,7,15,15,15,15,31,15,31,15,15,17.4
27,15,15,15,15,15,31,15,31,15,15,18.2
28,15,15,15,15,15,31,15,31,15,15,18.2
29,15,15,15,15,15,31,31,31,15,15,19.8
30,15,15,15,15,15,31,31,31,15,15,19.8
31,15,15,15,15,15,31,31,31,15,15,19.8
32,15,15,15,15,15,63,31,31,15,15,23
33,15,15,15,15,15,63,31,31,31,15,24.6
34,15,15,15,15,15,63,31,31,31,15,24.6
35,15,15,15,15,15,63,31,31,31,15,24.6
36,15,15,15,15,15,63,31,31,31,15,24.6
37,15,31,15,15,15,63,31,31,31,15,26.2
38,15,31,15,15,15,63,31,31,31,15,26.2
39,15,31,31,15,15,63,31,31,31,15,27.8
40,15,31,31,15,15,63,31,31,63,15,31
41,15,31,31,15,15,63,31,31,63,15,31
42,15,31,31,15,15,63,31,31,63,15,31
43,15,31,31,15,15,63,31,31,63,15,31
44,15,31,31,15,15,63,31,31,63,15,31
45,15,31,31,15,15,63,31,31,63,15,31
46,15,31,31,15,15,63,31,31,63,15,31
47,15,31,31,15,15,63,31,31,63,15,31
48,15,31,31,15,15,63,31,31,63,15,31
49,15,31,31,15,15,63,31,31,63,15,31
50,15,31,31,15,15,63,31,31,63,15,31
51,15,31,31,31,15,63,31,31,63,15,32.6
52,15,31,31,31,31,63,31,31,63,15,34.2
53,15,31,31,31,31,63,63,31,63,15,37.4
54,31,31,31,31,31,63,63,31,63,15,39
55,31,31,31,31,31,63,63,31,63,15,39
56,31,31,31,31,31,63,63,31,63,15,39
57,31,31,31,31,31,63,63,31,63,15,39
58,31,31,31,31,31,63,127,31,63,15,45.4
59,31,31,31,31,31,63,127,31,63,15,45.4
60,31,31,31,31,31,63,127,63,63,15,48.6
61,31,31,31,31,31,63,127,63,63,15,48.6
62,31,31,31,31,31,63,127,63,63,15,48.6
63,31,31,31,31,31,63,127,63,63,15,48.6
64,31,63,31,31,31,63,127,63,63,15,51.8
65,31,63,31,31,31,63,127,63,63,15,51.8
66,31,63,31,31,31,63,127,63,63,15,51.8
67,31,63,31,31,31,63,127,63,63,15,51.8
68,31,63,31,31,31,63,127,63,63,15,51.8
69,31,63,31,31,31,63,127,63,63,31,53.4
70,31,63,31,31,31,63,127,63,63,31,53.4
71,31,63,31,31,31,63,127,63,63,31,53.4
72,31,63,31,31,31,63,127,63,63,31,53.4
73,31,63,31,31,31,63,127,63,63,63,56.6
74,31,63,31,31,31,127,127,63,63,63,63
75,31,63,31,63,31,127,127,63,63,63,66.2
76,31,63,31,63,31,127,127,63,63,63,66.2
77,31,63,31,63,31,127,127,63,63,63,66.2
78,31,63,31,63,31,127,127,63,63,63,66.2
79,31,63,31,63,31,127,127,63,63,63,66.2
80,31,63,31,63,31,127,127,63,63,63,66.2
81,31,63,31,63,31,127,127,63,63,63,66.2
82,31,63,31,63,31,127,127,63,63,63,66.2
83,31,63,31,63,31,127,127,63,63,63,66.2
84,31,63,31,63,31,127,127,63,63,63,66.2
85,31,63,31,63,31,127,127,63,63,63,66.2
86,31,63,31,63,31,127,127,63,63,63,66.2
87,31,63,31,63,31,127,127,63,63,63,66.2
88,31,63,31,63,31,127,127,63,63,63,66.2
89,31,63,31,63,31,127,127,63,63,63,66.2
90,31,63,31,63,31,127,127,63,63,63,66.2
91,31,63,31,63,31,127,127,63,63,63,66.2
92,31,63,31,63,31,127,127,63,63,63,66.2
93,31,63,31,63,31,127,127,63,63,63,66.2
94,31,63,31,63,31,127,127,63,63,63,66.2
95,31,63,31,63,31,127,127,63,63,63,66.2
96,31,63,31,63,31,127,127,63,63,63,66.2
97,31,63,31,63,31,255,127,63,63,63,79
98,31,63,31,63,31,255,127,63,63,63,79
99,31,63,31,63,31,255,127,63,63,63,79
100,31,63,31,63,63,255,127,63,63,63,82.2
101,31,63,31,63,63,255,127,63,63,63,82.2
102,31,63,31,63,63,255,127,63,63,63,82.2
103,31,63,31,63,63,255,127,63,63,63,82.2
104,31,63,63,63,63,255,127,63,63,63,85.4
105,31,63,63,63,63,255,127,63,63,63,85.4
106,31,63,63,63,63,255,127,63,63,63,85.4
107,31,63,63,63,63,255,127,63,63,63,85.4
108,31,63,63,63,63,255,127,63,63,63,85.4
109,31,63,63,63,63,255,127,63,63,63,85.4
110,31,63,63,63,63,255,127,63,63,63,85.4
111,31,63,63,63,63,255,127,63,63,63,85.4
112,31,127,63,63,63,255,127,63,63,63,91.8
113,31,127,63,63,63,255,127,63,63,63,91.8
114,31,127,63,63,63,255,127,63,63,63,91.8
115,31,127,63,63,63,255,127,63,63,63,91.8
116,31,127,63,63,63,255,127,63,63,63,91.8
117,31,127,63,63,63,255,127,63,63,63,91.8
118,31,127,63,63,63,255,127,63,63,63,91.8
119,31,127,63,63,63,255,127,63,63,63,91.8
120,31,127,63,63,63,255,127,63,63,63,91.8
121,31,127,63,63,63,255,127,63,63,63,91.8
122,31,127,63,63,63,255,127,63,63,63,91.8
123,31,127,63,63,63,255,127,63,63,63,91.8
124,31,127,63,63,63,255,127,63,63,63,91.8
125,31,127,63,63,63,255,127,63,63,63,91.8
126,31,127,63,63,63,255,127,63,63,63,91.8
127,31,127,63,63,63,255,127,63,63,63,91.8
128,31,127,63,63,127,255,127,63,63,63,98.2
129,31,127,63,63,127,255,127,63,63,63,98.2
130,31,127,63,63,127,255,127,63,63,63,98.2
131,31,127,63,63,127,255,127,63,63,63,98.2
132,31,127,63,63,127,255,127,63,63,63,98.2
133,31,127,63,63,127,255,127,63,63,63,98.2
134,31,127,63,63,127,255,127,63,63,63,98.2
135,31,127,63,63,127,255,127,63,63,63,98.2
136,31,127,63,63,255,255,127,63,63,63,111
137,31,127,63,63,255,255,127,63,63,63,111
138,31,127,63,63,255,255,127,63,63,63,111
139,31,127,63,63,255,255,127,63,63,63,111
140,31,127,63,63,255,255,127,63,63,63,111
141,31,127,63,63,255,255,127,63,63,63,111
142,31,127,63,63,255,255,127,63,63,63,111
143,31,127,63,63,255,255,127,63,63,63,111
144,31,127,63,63,255,255,127,63,63,63,111
145,63,127,63,63,255,255,127,63,63,63,114.2
