Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Estimator_11,Estimator_12,Estimator_13,Estimator_14,Estimator_15,Estimator_16,Estimator_17,Estimator_18,Estimator_19,Estimator_20,Estimator_21,Estimator_22,Estimator_23,Estimator_24,Estimator_25,Average_Estimator
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,3,3,3,3,3,1,3,1,1,1,1,1,3,3,3,1,3,3,1,3,1,1,3,3,2.2
3,3,3,3,7,7,3,1,3,3,3,1,1,3,7,3,7,3,3,3,1,7,1,3,7,3,3.56
4,3,3,3,15,7,3,3,3,3,3,1,3,3,7,3,7,3,3,3,3,7,3,7,7,3,4.36
5,3,3,3,15,7,3,3,3,3,3,1,7,3,7,3,7,3,3,3,3,15,3,7,7,3,4.84
6,3,3,3,15,7,3,3,7,3,3,1,7,3,7,3,7,3,3,3,3,15,3,7,7,3,5
7,3,3,3,15,15,7,3,15,3,3,3,15,7,7,3,7,7,3,3,3,15,7,7,7,3,6.68
8,3,3,7,15,15,7,3,15,3,7,3,15,7,7,3,7,7,3,3,3,15,15,7,15,3,7.64
9,3,3,15,15,15,7,7,15,3,7,3,15,15,7,7,7,7,3,7,3,15,15,7,15,3,8.76
10,3,3,15,15,31,15,7,15,7,7,3,15,15,7,7,7,7,7,7,7,15,15,7,15,7,10.36
11,3,3,15,15,31,15,7,15,7,7,3,15,15,7,7,7,7,7,7,15,15,15,7,15,7,10.68
12,3,7,15,15,31,15,15,15,7,7,7,15,15,7,7,7,7,15,7,15,15,15,15,15,7,11.96
13,3,7,15,31,31,15,15,15,7,7,7,15,15,7,7,7,7,15,7,15,15,15,15,15,7,12.6
14,3,7,15,31,31,15,15,15,7,7,7,15,15,7,15,7,15,15,7,15,15,15,15,15,7,13.24
15,3,7,15,31,31,15,15,15,15,7,7,15,15,7,15,7,15,31,7,15,15,15,31,15,7,14.84
16,7,7,15,31,31,15,15,15,15,7,7,15,15,15,15,7,15,31,7,15,15,15,31,15,7,15.32
17,7,7,15,31,31,15,15,15,15,7,7,31,15,15,15,7,31,31,7,15,15,15,31,15,7,16.6
18,7,7,15,31,31,15,15,15,15,15,7,31,15,15,15,7,63,31,7,15,15,15,31,15,7,18.2
19,7,7,15,31,31,15,15,15,15,15,7,31,15,15,15,15,63,31,7,15,15,15,31,15,7,18.52
20,7,7,15,31,31,15,15,15,15,15,7,31,15,15,15,15,63,31,7,15,15,15,31,31,7,19.16
21,7,7,15,63,31,15,15,15,31,15,7,31,15,15,15,15,63,31,7,15,15,15,31,31,7,21.08
22,7,7,15,63,31,15,15,15,31,15,7,31,15,15,15,15,63,31,7,31,15,15,31,31,7,21.72
23,7,7,15,63,31,15,15,15,31,31,7,31,15,15,15,15,63,31,7,31,15,31,31,31,7,23
24,7,7,15,63,31,15,15,31,31,31,7,31,31,15,15,31,63,31,7,31,15,31,63,31,7,26.2
25,7,15,15,63,31,15,15,31,31,31,15,31,31,15,15,31,63,31,7,31,15,31,63,31,7,26.84
26,7,15,15,63,31,15,15,31,31,31,15,31,31,15,15,31,63,31,7,31,15,31,63,31,7,26.84
27,7,15,15,63,31,15,15,31,31,31,15,31,31,15,15,31,63,31,7,31,15,31,63,31,7,26.84
28,7,31,15,63,31,15,15,63,31,31,15,31,31,15,31,31,63,31,7,31,15,31,63,31,7,29.4
29,7,31,15,63,31,15,15,63,31,31,15,31,31,15,31,31,63,31,15,31,15,31,63,31,7,29.72
30,7,31,15,63,63,15,15,63,31,31,15,31,31,15,31,31,63,31,15,31,15,31,63,31,7,31
31,7,31,15,63,63,15,15,63,31,31,15,31,31,15,31,31,63,31,15,31,15,31,63,31,7,31
32,7,31,15,63,63,15,15,63,31,31,15,31,31,15,31,31,63,31,15,63,15,31,63,31,7,32.28
33,7,31,15,63,63,15,15,63,31,31,15,31,31,15,31,31,63,31,15,63,15,31,63,31,7,32.28
34,7,31,15,63,63,15,15,63,31,31,15,31,31,15,31,31,63,31,15,63,15,31,63,31,7,32.28
35,7,31,15,63,63,15,15,63,31,31,15,31,31,15,31,31,63,31,15,63,15,31,63,31,7,32.28
36,15,31,15,63,63,15,15,63,31,31,15,31,31,15,31,31,63,31,31,63,15,31,63,31,7,33.24
37,15,31,31,63,63,15,15,63,31,31,15,31,31,15,31,31,63,31,31,63,15,31,63,31,7,33.88
38,15,31,31,63,63,15,15,63,31,31,15,31,31,15,31,31,63,31,31,63,15,31,63,31,7,33.88
39,15,31,31,63,63,15,15,63,31,63,15,31,31,15,31,31,63,31,31,63,15,31,63,31,7,35.16
40,15,31,31,63,63,15,15,63,31,63,15,31,31,15,31,31,63,31,31,63,15,31,63,31,7,35.16
41,15,31,31,63,63,15,15,63,31,63,15,31,31,15,31,31,63,31,31,63,31,31,63,31,7,35.8
42,15,31,31,63,63,15,15,63,31,63,15,63,31,15,31,31,63,31,31,63,31,31,63,31,7,37.08
43,15,31,31,63,63,15,15,63,31,63,15,63,31,15,31,31,63,31,31,63,31,31,63,31,7,37.08
44,15,31,31,63,63,15,15,63,31,63,15,127,31,15,31,31,63,31,31,63,31,31,63,31,7,39.64
45,15,31,31,63,63,15,15,63,31,63,15,127,31,15,31,31,63,31,31,63,31,31,63,31,7,39.64
46,15,31,31,63,63,15,15,63,31,63,15,127,31,31,31,31,63,31,31,63,63,31,63,31,7,41.56
47,15,31,31,63,63,15,15,63,31,63,15,127,31,31,31,31,63,31,31,63,63,31,63,31,7,41.56
48,31,31,31,63,63,15,31,63,31,63,15,127,31,31,31,31,63,31,31,63,127,31,63,31,7,45.4
49,31,31,31,63,63,31,31,63,31,63,15,127,31,31,31,31,63,31,31,63,127,31,63,31,15,46.36
50,31,31,31,63,63,31,31,63,31,63,15,127,63,31,31,31,63,31,63,63,127,31,63,31,15,48.92
51,31,31,31,63,63,31,31,63,31,63,15,127,63,31,31,31,63,31,63,63,127,31,63,31,15,48.92
52,31,31,31,63,63,31,31,63,31,63,15,127,63,31,31,63,63,31,63,63,127,31,63,31,15,50.2
53,31,31,31,63,63,31,31,63,31,63,15,127,63,31,31,63,63,31,63,63,127,31,63,31,15,50.2
54,31,31,31,63,63,31,31,63,31,63,15,127,63,31,31,63,63,31,63,63,127,31,63,31,15,50.2
55,31,31,31,63,63,31,31,63,31,63,15,127,63,31,31,63,63,31,63,63,127,31,63,31,31,50.84
56,63,31,31,63,63,31,31,63,31,63,15,127,63,31,31,63,63,31,63,63,127,31,63,31,31,52.12
