Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Average_Estimator
1,1,1,1,1,1,1
2,3,1,1,1,1,1.4
3,3,3,3,3,1,2.6
4,3,7,3,3,3,3.8
5,3,7,3,3,3,3.8
6,7,7,3,3,7,5.4
7,7,15,7,3,7,7.8
8,7,15,7,3,7,7.8
9,7,15,7,7,7,8.6
10,7,15,7,15,7,10.2
11,7,15,7,15,7,10.2
12,7,15,7,15,7,10.2
13,7,15,7,15,7,10.2
14,7,15,7,15,7,10.2
15,15,15,15,15,15,15
16,15,15,15,15,15,15
17,15,15,15,15,15,15
18,15,15,15,15,31,18.2
19,31,15,15,15,31,21.4
20,31,15,15,15,31,21.4
21,31,15,15,15,31,21.4
22,31,31,15,15,31,24.6
23,63,31,15,15,31,31
24,63,31,15,15,31,31
25,63,31,15,15,31,31
26,63,31,15,15,31,31
27,63,31,31,15,31,34.2
28,63,31,31,15,31,34.2
29,63,63,63,15,31,47
30,63,63,63,15,31,47
31,63,63,63,31,31,50.2
32,63,63,63,31,31,50.2
33,63,127,63,31,31,63
34,63,127,63,31,31,63
35,63,127,63,31,31,63
36,63,127,63,31,31,63
37,63,127,63,31,31,63
38,63,127,63,31,31,63
39,63,127,63,31,31,63
40,63,127,63,31,31,63
41,63,127,63,31,31,63
42,63,127,63,31,31,63
43,63,127,63,31,31,63
44,63,127,63,31,31,63
45,63,127,63,31,31,63
46,63,127,63,31,31,63
47,63,127,63,63,31,69.4
48,63,127,63,63,31,69.4
49,63,127,63,63,31,69.4
50,63,127,63,63,31,69.4
51,63,127,63,63,31,69.4
52,63,127,63,63,31,69.4
53,63,127,63,63,31,69.4
54,63,127,63,63,31,69.4
55,63,127,63,63,31,69.4
56,63,127,63,63,31,69.4
57,63,127,63,63,31,69.4
58,63,127,63,63,31,69.4
59,63,127,63,63,31,69.4
60,63,127,127,63,31,82.2
61,63,127,127,63,31,82.2
62,63,127,127,63,31,82.2
63,63,127,127,63,31,82.2
64,63,127,127,63,31,82.2
65,63,127,127,63,31,82.2
66,63,127,127,63,31,82.2
67,63,127,127,63,31,82.2
68,63,127,127,63,31,82.2
69,63,127,127,63,31,82.2
70,63,127,127,63,31,82.2
71,63,127,127,63,31,82.2
72,63,127,127,63,31,82.2
73,63,127,127,63,31,82.2
74,63,127,127,63,31,82.2
75,63,127,127,63,31,82.2
76,63,127,127,63,31,82.2
77,63,127,127,63,31,82.2
78,63,127,127,63,31,82.2
79,63,127,127,63,31,82.2
80,63,127,127,63,31,82.2
81,63,127,127,63,31,82.2
82,63,127,127,63,31,82.2
83,63,127,127,63,31,82.2
84,63,127,127,63,31,82.2
85,63,127,127,63,31,82.2
86,63,127,127,63,31,82.2
87,63,127,127,63,31,82.2
88,63,127,127,63,31,82.2
89,63,127,127,63,31,82.2
90,63,127,127,63,31,82.2
91,63,127,127,63,31,82.2
92,63,127,127,63,31,82.2
93,127,127,127,63,31,95
94,127,127,127,63,31,95
95,127,127,127,63,31,95
96,127,127,127,63,31,95
97,127,127,127,63,31,95
98,127,127,127,63,31,95
99,127,127,127,63,31,95
100,127,127,127,63,31,95
101,127,127,127,63,31,95
102,127,127,127,63,31,95
103,127,127,127,63,31,95
104,127,127,127,63,31,95
105,127,127,127,63,31,95
106,127,127,127,63,63,101.4
107,127,127,127,63,63,101.4
108,127,127,127,63,63,101.4
109,127,127,127,63,63,101.4
110,127,127,127,63,63,101.4
111,127,127,127,63,63,101.4
112,127,127,127,63,63,101.4
113,127,127,127,63,63,101.4
114,127,127,127,63,63,101.4
115,127,127,127,127,63,114.2
116,127,127,127,127,63,114.2
117,127,127,127,127,63,114.2
118,127,127,127,127,63,114.2
119,127,127,127,127,63,114.2
120,127,127,127,127,63,114.2
121,127,127,127,127,63,114.2
122,127,127,127,127,63,114.2
123,127,127,127,127,63,114.2
124,127,127,127,127,63,114.2
125,127,127,127,127,63,114.2
126,127,127,127,127,63,114.2
127,127,127,127,127,63,114.2
128,127,127,127,127,63,114.2
129,127,127,127,127,63,114.2
130,127,127,127,127,63,114.2
131,127,127,127,127,63,114.2
132,127,127,127,127,63,114.2
133,127,127,127,127,63,114.2
134,127,127,127,127,63,114.2
135,127,127,127,127,63,114.2
136,127,127,127,127,63,114.2
137,127,127,127,127,63,114.2
138,127,127,127,127,63,114.2
139,127,127,127,127,63,114.2
140,127,127,127,127,63,114.2
141,127,127,127,127,63,114.2
142,127,127,127,127,63,114.2
143,127,127,127,127,63,114.2
144,127,127,127,127,63,114.2
145,127,127,127,127,63,114.2
146,127,127,127,127,63,114.2
147,127,127,127,127,63,114.2
148,127,127,127,127,63,114.2
149,127,127,127,127,63,114.2
150,127,127,127,127,63,114.2
151,127,255,127,127,63,139.8
152,127,255,127,127,63,139.8
153,127,255,127,127,63,139.8
154,127,255,127,127,63,139.8
155,127,255,127,127,63,139.8
156,127,255,127,127,63,139.8
157,127,255,127,127,63,139.8
158,127,255,127,127,63,139.8
159,127,255,127,127,63,139.8
160,127,255,127,127,63,139.8
161,127,255,127,127,63,139.8
162,127,255,127,127,63,139.8
163,127,255,127,127,63,139.8
164,127,255,127,127,63,139.8
165,127,255,127,127,63,139.8
166,127,255,127,127,63,139.8
167,127,255,127,127,63,139.8
168,127,255,127,127,63,139.8
169,127,255,127,127,63,139.8
170,127,255,127,127,63,139.8
171,127,255,127,127,63,139.8
172,127,255,127,127,63,139.8
173,127,255,127,127,63,139.8
174,127,255,127,127,63,139.8
175,127,255,127,127,63,139.8
176,127,255,127,127,63,139.8
177,127,255,127,127,63,139.8
178,127,255,127,127,63,139.8
179,127,255,127,127,63,139.8
180,127,255,127,127,63,139.8
181,127,255,127,127,63,139.8
182,127,255,127,127,63,139.8
183,127,255,127,127,63,139.8
184,127,255,127,127,63,139.8
185,127,255,127,127,63,139.8
186,127,255,127,127,63,139.8
187,127,255,127,127,63,139.8
188,127,255,127,127,63,139.8
189,127,255,127,127,63,139.8
190,127,255,127,127,63,139.8
191,127,255,127,127,63,139.8
192,127,255,127,127,63,139.8
193,127,255,127,127,63,139.8
194,127,255,127,127,63,139.8
195,127,255,127,127,63,139.8
196,127,255,127,127,63,139.8
197,127,255,127,127,63,139.8
198,127,255,127,127,63,139.8
199,127,255,127,127,63,139.8
200,127,255,127,127,63,139.8
201,127,255,127,127,63,139.8
202,127,255,127,127,63,139.8
203,127,255,127,127,63,139.8
204,127,255,127,127,63,139.8
205,127,255,127,127,63,139.8
206,127,255,127,127,63,139.8
207,127,255,127,127,63,139.8
208,127,255,127,127,63,139.8
209,127,255,127,127,63,139.8
210,127,255,127,127,63,139.8
211,127,255,127,127,63,139.8
212,127,255,127,127,63,139.8
213,127,255,127,127,63,139.8
214,127,255,127,127,63,139.8
215,127,255,127,127,63,139.8
216,127,255,127,127,63,139.8
217,127,255,127,127,63,139.8
218,127,255,127,127,63,139.8
219,127,255,127,127,63,139.8
220,127,255,127,127,63,139.8
221,127,255,127,127,63,139.8
222,127,511,127,127,63,191
223,127,511,127,127,63,191
224,127,511,127,127,63,191
225,127,511,127,127,63,191
226,127,511,127,127,63,191
227,127,511,127,127,63,191
228,127,511,127,127,63,191
229,127,511,127,127,63,191
230,127,511,127,127,63,191
231,127,511,127,127,63,191
