Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Estimator_11,Estimator_12,Estimator_13,Estimator_14,Estimator_15,Estimator_16,Estimator_17,Estimator_18,Estimator_19,Estimator_20,Estimator_21,Estimator_22,Estimator_23,Estimator_24,Estimator_25,Estimator_26,Estimator_27,Estimator_28,Estimator_29,Estimator_30,Estimator_31,Estimator_32,Estimator_33,Estimator_34,Estimator_35,Estimator_36,Estimator_37,Estimator_38,Estimator_39,Estimator_40,Estimator_41,Estimator_42,Estimator_43,Estimator_44,Estimator_45,Estimator_46,Estimator_47,Estimator_48,Estimator_49,Estimator_50,Average_Estimator
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,3,1,1,3,3,1,3,3,3,1,1,3,1,3,1,3,1,1,3,1,1,3,3,3,3,1,1,1,1,1,1,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1.76
3,3,7,3,1,3,7,3,3,3,3,1,3,3,1,3,1,7,1,1,3,1,3,3,3,3,7,3,3,1,1,1,3,3,3,7,3,3,3,3,3,3,1,3,1,1,1,1,1,1,3,2.72
4,3,7,3,3,3,7,3,7,3,3,1,3,3,3,3,1,7,1,3,3,1,3,3,3,7,7,7,3,3,1,3,7,3,3,7,7,3,3,3,3,3,3,3,1,3,3,3,1,1,3,3.48
5,3,7,3,7,7,7,7,15,7,3,3,3,3,7,3,1,7,1,7,3,1,3,3,3,7,7,7,3,7,1,7,7,3,7,7,7,3,7,3,7,3,7,7,3,3,3,7,1,1,3,4.84
6,7,7,7,7,15,15,7,15,7,3,3,3,7,7,3,1,7,1,7,3,3,7,3,3,7,7,7,3,7,1,7,7,3,7,7,7,7,7,7,15,3,7,7,7,3,3,15,3,1,3,6.12
7,7,7,7,7,31,15,7,15,7,3,3,7,7,7,7,1,7,3,7,3,3,7,3,3,7,7,7,3,7,1,7,7,7,7,7,7,7,7,7,15,3,7,7,15,3,3,15,3,1,3,6.88
8,7,15,7,7,31,15,7,15,7,3,7,7,7,7,7,3,7,3,7,7,3,7,3,3,7,7,7,3,7,1,7,7,7,7,7,7,7,15,7,15,3,7,7,15,3,3,15,3,1,3,7.4
9,7,15,15,15,31,31,15,15,7,3,7,7,7,7,7,3,7,3,7,7,3,7,3,3,7,7,15,3,7,1,7,7,15,15,15,7,7,15,7,15,7,7,7,15,3,3,15,3,1,3,8.92
10,7,31,15,15,31,31,15,31,7,7,7,7,7,7,7,3,7,3,7,7,3,7,7,3,7,7,15,3,7,3,7,7,15,15,15,7,7,15,7,15,7,7,15,15,3,3,15,3,3,3,9.96
